date,Year,Month,heatindex
20100805,2010 여름,8,34.15
20100806,2010 여름,8,32.42
20100807,2010 여름,8,26.19
20100808,2010 여름,8,29.58
20100809,2010 여름,8,30.57
20100810,2010 여름,8,29.16
20100811,2010 여름,8,31.52
20100812,2010 여름,8,24.13
20100813,2010 여름,8,25.5
20100814,2010 여름,8,29.66
20100815,2010 여름,8,29.19
20100816,2010 여름,8,25.08
20100817,2010 여름,8,26.17
20100818,2010 여름,8,26
20100819,2010 여름,8,31.84
20100820,2010 여름,8,32
20100821,2010 여름,8,31.5
20100822,2010 여름,8,31.97
20100823,2010 여름,8,29.52
